squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
13591,41,1,0,37,62003,10,6,2000,0,0,461,117,622,0,8,1367021
36295,69,1,1,9,33938,5,9,2000,1,1,7547,4090,694,0,0,3634512
56348,73,0,1,25,97706,5,5,1993,1,1,9495,5070,104,0,10,5645570.3
23127,75,1,0,69,84533,9,5,1995,0,0,759,3842,120,1,1,2327821.5
89396,62,1,1,97,33928,8,7,1993,1,1,6698,4944,624,1,6,8949480.3
37781,98,1,0,84,91317,6,9,2000,1,1,7571,228,469,0,8,3781636
47523,89,1,0,50,48868,3,3,2006,0,1,7233,3283,641,0,8,4760526.6
24916,48,1,1,55,16416,5,10,2020,1,0,6972,8714,443,1,3,2496771
64717,12,1,0,37,8289,5,7,2008,1,1,7949,7310,227,0,9,6484598.8
1260,21,1,1,31,89757,7,4,2016,0,0,1586,7304,977,0,6,131538.6
85576,58,1,0,16,96843,10,1,1998,1,1,3473,8177,438,0,8,8558422.8
12101,9,1,0,80,76782,5,5,1996,0,0,7770,5077,443,0,6,1215445.6
83316,85,0,0,59,48945,9,4,2019,0,1,1335,8122,783,0,8,8336816.9
33532,84,0,1,79,84138,7,4,2000,0,0,8444,7497,308,1,10,3362452.1
53859,29,1,1,28,79559,4,8,2007,0,0,1272,8710,117,1,7,5391993.7
61647,45,0,0,8,24345,10,2,2019,1,0,6492,6115,572,1,6,6172515.9
1344,86,0,0,2,87526,1,7,2016,0,1,3191,4952,682,1,1,135751.6
65830,62,1,0,3,68015,5,4,2017,0,0,5359,8693,602,1,2,6587835.7
7608,58,0,0,18,26761,6,4,2014,0,0,8175,7146,491,0,8,768431.4
69133,88,1,0,88,49199,2,8,2000,1,0,4633,2454,223,1,1,6922630.2
15859,94,1,0,8,34493,1,7,2020,0,0,5335,9164,314,0,9,1588729
56065,4,1,1,25,23008,3,3,2018,0,0,3397,3245,647,0,8,5614119.8
6313,38,0,0,26,29953,1,2,2004,1,1,1551,7736,824,1,7,640633.4
20282,26,1,0,85,83552,10,5,2000,1,0,873,7698,154,0,5,2029680.1
9889,86,1,1,85,50147,8,2,2003,1,1,8955,575,918,0,5,996563.3
28045,70,0,1,75,82201,3,1,1995,1,1,1533,8269,245,1,3,2815267.5
32024,71,0,1,8,11239,1,1,2015,0,0,7370,1628,924,0,2,3203508.5
6465,11,1,0,79,21297,5,5,2020,0,0,711,717,833,0,7,645862.1
41565,46,1,1,64,6252,8,3,2020,1,0,8179,4148,711,1,10,4164038.1
58332,55,1,0,97,11227,4,4,2006,0,0,4593,8727,696,1,7,5848290.6
6708,25,0,1,80,22176,4,4,2000,1,0,5643,7146,278,1,5,674285.1
3990,32,1,1,50,83668,4,5,1996,0,1,3707,9351,805,0,5,404538.6
81967,35,0,1,42,6094,1,3,2003,0,0,9473,9696,354,1,1,8208953.3
79950,38,1,1,25,7628,2,7,1997,0,1,4398,2650,569,1,0,7997513.7
35634,99,1,1,56,426,7,8,1998,0,0,7089,9651,418,0,2,3568972.8
32037,86,1,0,60,22629,4,7,2013,0,1,7611,4823,877,1,3,3206943.3
45893,3,0,1,83,34571,5,5,2017,1,1,7620,1089,621,1,7,4596499.7
65896,35,0,1,48,69039,10,5,1994,1,1,2808,3361,242,0,8,6601450.4
48678,50,1,1,84,17276,10,7,1998,0,1,823,7965,619,0,1,4877324.8
90338,8,0,1,86,28897,6,7,2005,1,1,1631,7251,226,0,8,9040287.5
20862,26,1,1,67,6559,3,5,2007,0,0,7148,7356,156,1,3,2098549.7
29526,52,1,1,6,28290,9,5,2000,0,0,626,7882,867,1,9,2960766
94716,17,1,0,77,32609,8,1,2009,0,1,7001,3735,498,0,8,9479703.9
47618,56,0,0,98,7773,6,8,1996,1,0,6279,8714,123,1,0,4765943.6
35307,48,0,0,12,22460,8,1,2000,1,1,5359,8691,444,0,8,3534202
16631,86,1,1,60,81916,9,4,1993,1,0,7733,9089,833,1,8,1667835.3
79401,35,1,0,82,54582,9,2,1996,1,1,7053,9173,217,0,9,7941702.6
44913,11,0,0,35,21225,3,4,2005,0,0,2929,3690,669,0,8,4493550.5
54706,25,1,0,50,68626,7,10,2021,1,1,8575,9712,144,0,8,5476681.1
35585,99,0,1,80,22394,3,6,2008,0,1,9879,3535,625,0,10,3561895.8
32176,26,0,0,25,22449,6,1,1999,1,0,8308,1903,628,0,3,3220156.9
65560,77,1,0,14,30442,5,10,2003,0,1,3535,9458,936,0,3,6563603.3
29888,87,1,0,24,9262,2,10,1994,1,0,9552,4926,116,1,2,2993396.4
56093,16,0,1,20,694,6,8,2015,1,1,815,4583,114,0,3,5612610.5
98025,58,1,0,45,3769,9,4,2005,1,1,2504,5034,141,1,8,9813291.5
58914,64,0,1,37,23712,3,5,2017,0,1,5629,8798,811,1,8,5899786.7
51482,55,1,1,34,56189,9,8,2004,1,1,9253,3923,828,0,6,5153610.4
75680,44,1,0,35,64361,2,3,2009,0,1,7448,1667,601,0,5,7572315.9
816,7,1,0,38,10486,4,4,2003,0,0,6738,4203,918,0,7,87585.3
5630,22,0,1,86,64761,2,3,2013,0,0,9426,8809,869,1,8,574843.3
77158,54,0,1,38,7935,8,4,1993,1,1,3231,9342,859,1,0,7721334.3
88182,74,1,1,82,35450,2,9,2014,1,1,2675,8678,417,1,8,8830006.4
36503,72,1,0,85,67715,8,9,2007,0,1,7926,4291,928,0,1,3659340.7
77913,46,1,1,15,99105,1,8,2007,0,1,9788,602,648,1,10,7801697.7
92335,37,0,0,67,52973,4,6,1999,0,1,4581,1459,434,0,3,9237950.9
74390,46,0,0,5,18817,10,6,2013,0,1,4233,5832,576,0,5,7441689.3
26223,35,1,0,39,53223,5,5,2014,0,1,732,6330,487,0,2,2630045.4
56191,41,1,1,8,15295,2,2,2005,0,1,428,8338,711,1,2,5625288.5
98661,12,1,0,20,51050,5,3,2006,0,1,8673,7873,127,0,8,9870323.6
94457,33,0,0,31,96284,7,4,2007,0,1,206,9491,755,0,0,9453238.7
16842,7,0,0,68,20912,2,10,2007,1,1,4754,169,495,1,7,1690854.7
91531,76,0,1,32,25412,7,4,2007,0,0,1684,549,122,1,8,9157941.7
53818,18,0,0,47,38929,3,8,1999,0,0,7677,139,309,0,10,5386139.9
79298,57,1,1,17,19649,7,5,2007,0,0,7166,8884,514,0,6,7935780.7
88822,24,1,0,13,41611,8,9,2008,1,0,4484,4910,418,0,4,8885730.8
43402,47,0,0,17,4737,3,10,1999,0,0,3447,4055,876,1,5,4344251.9
86139,41,1,0,15,98431,3,2,2015,1,0,8041,3477,264,0,0,8615540.1
94030,22,1,0,51,78116,5,8,2006,0,0,5679,4226,519,1,4,9404822.6
24511,35,0,0,5,79444,4,6,2000,1,1,3935,8572,377,0,9,2465183
3440,8,0,1,33,9107,7,2,2009,0,0,8177,9296,986,1,5,354630.9
55281,89,0,0,24,46451,3,6,2004,0,0,5688,6524,226,1,8,5531300.4
67509,38,1,0,64,40723,10,7,2016,0,0,4303,5800,314,1,6,6761569.6
65752,98,1,1,33,83501,9,5,2006,1,1,4631,6296,633,0,0,6583911.6
31492,64,0,0,64,27990,5,5,2000,0,0,8566,4977,747,1,5,3149910
27581,98,0,0,37,42634,5,3,2008,0,0,7653,4975,854,0,7,2763880.8
83730,50,0,0,8,53247,4,10,2006,1,1,2535,779,810,0,10,8374057.6
97452,93,1,0,44,29959,3,8,2000,1,0,8846,6149,213,0,8,9751753.2
4809,45,0,1,98,10660,5,9,1995,0,1,7058,5026,575,1,1,486824.5
13560,5,0,1,8,2084,1,8,2000,1,0,3525,8751,375,1,3,1361612.1
39007,25,1,0,8,35375,1,2,1999,1,1,9649,6304,783,0,8,3912800.9
38937,77,1,0,13,2867,2,3,2013,0,0,4594,1272,258,0,3,3901433.3
80622,74,0,1,76,48037,8,7,2015,0,1,2308,9374,745,1,3,8069026.5
33190,84,0,1,13,16941,1,10,2006,1,0,5594,6873,973,0,4,3326422.6
48324,76,0,0,90,45457,7,6,2000,1,1,6159,6159,847,1,8,4840107.1
5630,86,0,1,77,73897,8,6,2013,1,1,7746,6808,747,0,10,574843.3
66518,16,0,1,80,10708,6,9,2005,1,0,2116,6708,635,1,10,6658518.5
341,34,0,1,17,17844,4,5,2013,0,1,1293,5840,767,1,1,35371.3
49772,98,0,1,38,89906,7,5,2007,0,1,8174,6369,810,0,4,4985835.7
97550,89,1,0,35,64129,3,7,2014,1,0,8553,6896,987,1,4,9765099.4
47807,61,0,0,67,22405,9,3,2000,1,0,9232,7685,168,1,1,4790133.2
80610,75,1,1,21,877,4,4,2007,1,1,2420,5092,677,0,0,8071729.7
78088,33,1,0,6,68472,3,5,2004,0,0,8129,2230,414,0,8,7809475.4
55620,90,1,1,71,90932,1,2,2000,1,0,8796,3488,539,0,6,5573469.2
9078,85,0,1,37,54971,3,5,1994,0,1,6784,8737,809,0,10,909459.4
52552,55,1,0,82,48564,8,5,2006,1,0,9778,5951,114,1,2,5262997.6
79375,37,1,0,79,85633,4,4,2013,0,0,1537,3742,859,0,8,7942261.3
55052,11,0,1,75,17210,10,3,2000,1,0,4507,1247,210,0,9,5506954.2
20743,16,1,1,12,67704,5,3,2020,0,1,1732,6651,135,0,4,2080020.1
32419,39,1,0,64,83638,8,6,2000,1,1,10000,9226,255,1,2,3253478.1
83377,83,1,0,55,67679,5,6,2003,1,0,6698,2358,919,0,7,8342685.3
49031,84,1,0,78,3052,1,4,2016,1,1,3291,3156,514,0,5,4914589.6
82202,84,0,0,8,74838,10,7,2003,1,1,1252,3535,936,1,1,8225531.3
43001,6,1,1,55,96284,2,4,1997,1,1,3342,6783,900,1,6,4311748.7
16249,35,1,0,41,77489,3,5,2009,0,1,5663,4916,275,1,4,1627810.9
31005,35,0,1,9,83573,5,6,2018,0,1,4173,7229,694,0,2,3101945.8
58413,64,1,1,12,28835,8,4,2013,0,0,6367,6234,613,0,3,5852813
45524,58,0,0,32,66294,4,9,2013,1,1,6259,6662,678,0,1,4562413.3
14973,18,0,1,34,70162,1,2,2018,0,0,2785,1441,414,0,5,1501528.8
20964,64,0,1,4,21471,6,8,2000,1,0,5198,6794,775,0,6,2101176
58597,84,0,1,99,36436,1,8,2020,1,0,8146,8712,146,1,10,5867655.1
29824,18,0,1,69,40416,7,5,1993,1,0,8435,937,401,0,9,2986708.3
29752,99,1,1,35,23782,7,8,2000,0,0,2798,5563,886,1,5,2982668
51798,35,0,1,50,34354,2,6,2014,0,0,8229,5244,146,1,3,5185741.4
28600,79,1,0,76,91918,1,5,2017,1,0,8181,9969,324,1,3,2869556.7
18286,89,0,0,49,61431,8,9,2016,1,1,9812,5958,377,0,4,1833185.6
68985,86,0,0,50,39034,4,1,2009,0,1,4398,3192,275,1,0,6901750.9
36219,19,1,1,35,76584,2,1,2003,1,1,3929,968,138,1,6,3634081.3
95561,57,0,0,36,20156,7,10,2015,1,1,9245,5240,512,0,6,9561422.5
19985,19,0,0,19,64707,8,9,1999,1,1,9524,4354,920,0,4,2006910.9
35060,21,0,1,62,33942,3,7,2013,1,1,8308,6820,499,0,3,3513606.3
1719,5,1,0,5,82475,2,4,2008,0,1,9556,9186,645,1,2,180524.8
75584,99,1,1,84,82909,6,6,2016,0,1,6178,8589,201,0,1,7567791.6
45524,64,1,1,34,42683,2,9,1993,0,0,5184,6439,114,0,0,4557896.3
41700,45,1,0,45,57920,8,8,2001,0,1,5163,7245,194,1,4,4175901.1
14113,34,1,1,58,18483,3,9,2014,1,0,3573,9658,109,0,7,1417648.4
30572,24,0,0,77,11575,8,4,2008,0,0,6294,826,401,0,3,3058110.8
73527,79,0,0,77,93883,8,4,2004,0,0,8681,2235,377,0,8,7356083.4
14113,47,1,1,97,18386,7,8,2014,0,1,2634,6681,147,0,8,1417648.4
56878,60,1,0,35,58753,3,7,2015,0,0,5802,4074,676,0,1,5695950.5
5246,3,1,0,33,73160,8,6,1998,0,0,5497,826,205,0,8,532545.8
46204,81,0,1,40,41817,1,4,1997,0,1,6642,4753,101,0,2,4627498.7
14933,78,1,1,50,45036,1,9,2020,0,1,7266,775,349,1,8,1500885
29250,78,0,1,78,15113,7,5,2015,1,1,9796,4287,268,0,5,2935648.5
45125,78,1,1,50,97738,8,6,2019,0,0,4726,5166,976,1,7,4522380.9
70873,58,0,0,58,45842,1,8,1997,1,1,7710,5274,434,0,9,7089697.7
42903,59,0,1,30,50147,5,5,2000,0,0,2952,5017,314,0,2,4295529.1
965,58,1,1,79,9662,2,9,2019,0,1,7262,8779,737,1,2,107936.9
77915,99,0,0,22,64110,5,10,2018,1,1,632,9015,221,0,7,7793915.8
21765,34,0,0,50,98079,5,10,2000,1,1,637,5474,532,1,0,2184139
13344,12,0,0,50,15682,7,2,2000,0,1,7309,4708,983,0,2,1342649.1
78256,89,0,1,84,42634,3,6,2021,0,1,981,4514,144,0,9,7832429
59437,58,1,0,46,29885,1,2,2014,0,1,5179,6000,702,0,3,5952617.4
26508,34,1,0,80,16935,7,1,2000,0,0,9543,6696,186,1,7,2663765.1
86044,74,1,1,88,26757,4,5,2011,1,0,3600,4653,456,0,8,8615471.1
47063,10,0,1,6,36610,6,8,2019,1,1,3856,1075,956,0,10,4713133.9
55490,51,1,1,37,21042,6,2,2018,1,0,801,5249,123,1,10,5562772.8
1115,49,1,0,46,50377,10,8,2014,0,1,7262,1327,109,0,3,129053.4
8677,7,1,1,38,49709,10,3,1994,0,1,7963,7600,774,0,10,877121.4
19507,52,1,1,18,18690,5,5,2014,1,0,782,7363,655,1,4,1955298
77604,51,0,0,62,58841,3,10,2003,1,1,955,955,616,1,6,7762930.3
85405,89,1,1,42,6559,1,9,1999,0,0,5178,5164,241,1,1,8555341.9
49033,68,1,1,48,23815,9,6,2020,1,0,4774,1626,863,1,10,4913241
41332,58,1,0,58,97510,5,6,1994,0,1,8482,4145,414,1,6,4146474.4
97831,54,1,1,75,2842,10,4,2004,0,1,6838,7465,214,0,3,9790034.4
61347,58,1,1,41,59837,6,6,2020,0,1,4163,583,546,1,8,6139920.1
69179,8,1,0,50,59848,4,5,1993,1,1,1464,5544,367,0,0,6921389.3
54993,21,0,1,50,17168,9,2,2017,1,0,4944,4988,587,1,6,5503799.7
28121,36,1,1,4,11740,4,5,1990,1,0,5377,5388,863,1,2,2820497.1
75972,6,1,0,35,88624,8,1,2006,0,1,171,2505,145,0,0,7601494.6
71527,33,1,1,5,12453,3,3,2008,1,1,4594,4918,123,1,7,7159280.8
93224,85,1,1,56,44052,1,4,2019,1,0,8578,7497,120,0,7,9329864.9
7643,87,1,0,64,10993,10,5,1999,0,0,7384,7366,808,0,7,765618.9
69290,37,0,1,35,42634,5,10,2008,1,1,4138,6234,327,1,3,6935036.8
32910,27,0,1,73,63748,7,10,2000,1,1,1437,4951,753,1,9,3301042
48673,38,1,1,35,6999,7,4,2007,0,0,5511,9179,576,1,7,4877029.7
40812,97,0,0,70,97711,8,3,2018,0,1,7248,765,810,1,8,4088680.8
25704,39,1,1,47,79154,9,7,1996,1,1,2785,5615,810,1,0,2575019.6
21189,36,1,0,44,18325,6,2,1994,0,0,9983,213,209,0,8,2126521.4
43588,26,1,1,86,36631,9,9,1998,1,0,9502,1684,912,0,2,4365377.8
90045,37,1,1,80,95917,7,4,2008,0,0,7479,923,404,0,8,9009466.8
91419,56,1,0,91,8342,3,9,2000,1,0,1272,1272,352,1,6,9147142.2
86820,6,0,0,99,89172,9,9,2008,0,0,6449,7298,678,1,9,8689099.8
68144,18,0,1,100,83809,6,7,2000,0,1,3484,3528,426,0,4,6825041.1
99254,37,0,0,81,64577,1,10,2004,1,0,8384,1034,933,0,3,9931071.4
69945,89,0,0,13,47370,8,1,2014,0,0,7276,5573,614,1,7,6998212.4
78671,88,0,0,79,426,5,2,2013,0,0,2426,1256,948,0,3,7868709.3
47579,38,1,1,8,8403,5,2,2013,0,1,7208,805,757,0,10,4761303.3
57243,25,1,0,45,35102,10,6,2014,0,0,1649,6185,348,0,3,5729138.4
62942,36,0,1,55,75295,5,3,2015,1,1,1851,3673,904,1,0,6299991.5
600,96,1,1,77,33691,5,9,2005,0,0,5305,5577,414,0,2,63402.1
28435,80,0,0,50,59267,8,8,1998,1,0,9249,8103,501,0,6,2845599.8
15765,44,1,0,13,13451,2,4,2009,0,1,6109,5284,142,0,3,1582487.9
13553,61,1,0,7,48244,5,1,2017,0,1,6486,759,572,0,7,1360671.7
6253,12,0,0,10,37696,6,8,2007,1,1,1661,5894,674,0,8,626613.7
58864,56,1,1,37,99403,6,10,2014,1,0,4173,7088,307,0,3,5891413.4
98350,31,0,1,87,28914,6,5,2000,1,0,5258,3454,218,0,3,9843345.2
61752,38,0,0,55,55928,2,5,2018,1,0,4960,8222,367,0,6,6181908.8
23281,18,0,0,70,68157,6,2,2004,0,0,7714,3645,306,0,8,2329260.4
60063,62,1,0,35,89651,8,6,1995,0,1,3731,8754,248,0,5,6010731.5
15656,34,0,0,37,25636,5,7,1998,1,0,6434,5474,925,0,6,1573398.8
55275,69,0,1,15,49736,4,4,2000,0,0,5278,4074,134,0,4,5531336.2
76640,96,0,1,78,80605,4,6,2006,0,0,1551,7117,266,0,5,7669425.6
64518,74,1,0,78,9174,6,5,2020,0,0,5662,5489,828,1,9,6455071
41431,49,0,0,18,71092,10,5,1996,1,0,7055,5645,867,0,8,4149160.6
81572,86,0,1,26,2036,5,7,1995,0,0,2287,732,313,0,1,8163755.5
41276,22,1,1,36,90395,3,3,2000,1,0,9037,43,607,0,1,4136486.2
82928,2,1,1,70,52082,9,7,2007,1,0,489,8271,218,1,10,8297655.7
10128,38,0,0,42,84658,8,9,1994,0,1,3541,4945,696,0,3,1021009.4
85181,58,0,0,9,96709,6,10,2010,0,1,7772,242,161,0,4,8530230
17889,92,1,0,95,21451,9,8,2000,0,1,6772,2305,850,1,0,1797252.2
26916,42,0,1,45,10926,4,5,1993,0,0,9253,4975,122,1,2,2696491.3
79171,21,0,1,70,73796,7,1,1996,1,1,5282,5951,457,0,2,7926950.6
96815,85,1,0,37,12138,3,2,2004,1,0,6957,9515,579,0,5,9693106.4
5758,83,0,0,55,8528,4,2,2000,1,1,8266,7274,627,0,9,581130
43410,50,1,0,50,23355,3,9,2006,1,0,7052,5240,870,0,10,4346921.6
45737,52,1,1,37,72014,10,9,2020,0,1,4245,5124,612,1,1,4580439.1
74689,100,0,0,38,23878,6,9,2008,1,1,8231,925,851,0,0,7484096.8
525,41,1,1,16,44354,7,7,1994,0,1,8377,8428,987,1,10,56225.4
67699,34,0,1,99,27636,8,7,2000,0,1,9579,5286,784,0,4,6776755.1
41164,58,0,1,41,9188,9,9,2000,1,0,7309,8672,425,0,0,4119024.1
91725,39,0,0,30,6005,6,4,1996,0,1,2796,545,510,0,2,9175749.6
86393,6,0,0,99,17132,5,1,2000,1,1,5883,7844,775,1,7,8643976
85462,46,1,0,97,98123,7,2,2006,0,0,7267,8688,412,1,2,8554218.6
7791,11,1,0,49,1138,2,5,1998,1,1,2413,6127,814,0,10,785517.8
63416,89,1,0,51,365,9,8,2016,0,1,3389,579,957,1,4,6347507.6
19969,26,1,0,52,67326,2,8,2000,0,1,8181,4396,655,1,4,2003559.1
74012,50,0,0,99,22058,10,8,1998,0,1,9148,824,229,0,4,7410308.8
44476,35,0,1,81,68168,10,1,2013,1,0,3731,2871,327,0,6,4450503.3
65260,35,0,0,83,84408,2,6,2006,0,0,7856,7437,265,1,2,6534195.6
12992,85,1,0,9,42626,10,9,2005,1,1,7331,2589,782,0,2,1304605
25836,89,1,1,84,9484,9,4,2007,1,0,2526,259,985,1,8,2597793.7
20771,37,0,0,41,68419,6,1,2019,1,1,7663,6581,445,1,6,2083710.9
13517,17,0,1,37,18404,9,6,2005,0,0,1251,7821,962,0,2,1359844.5
40200,44,1,1,19,201035,5,4,2006,0,0,2538,7437,985,0,0,4028239.6
81602,10,0,1,50,52009,1,6,2017,1,1,14,8568,215,1,5,8169478.7
14044,45,1,0,42,80254,8,1,2000,0,0,7234,6127,255,0,10,1409581.1
77128,69,1,0,100,93960,2,9,1998,0,0,3383,4939,553,1,0,7721041.8
12010,79,1,0,4,18373,2,7,2016,0,0,5198,8054,713,0,8,1205863.6
10841,86,1,0,55,9333,9,5,2019,1,1,7253,5252,536,0,0,1087980.9
60863,37,0,1,52,48647,7,8,2005,1,1,8169,7141,454,1,5,6091262.5
92424,55,0,1,48,86037,2,5,2014,0,0,8654,3793,532,1,8,9252356.4
82190,80,0,1,80,85383,2,8,2019,1,0,7253,3481,836,0,5,8221240.9
82900,12,0,0,1,98833,4,6,2005,0,0,9794,7963,159,0,8,8293339.5
54421,74,1,0,100,79444,9,4,1993,0,0,431,8087,674,1,0,5453842.3
42035,22,1,1,74,9374,9,2,2004,1,1,9178,118,735,0,8,4216631.4
44414,80,1,1,14,30584,2,4,2003,0,1,8872,9312,643,0,5,4449908.3
19189,67,0,0,50,77201,9,8,2014,1,0,8521,4722,148,0,8,1922029.4
47607,13,1,0,38,80621,2,8,2009,0,1,1114,2599,973,1,0,4763835.9
32599,12,1,1,54,94927,8,7,2003,1,0,1326,4846,682,0,10,3265978.3
44653,21,0,1,90,21239,5,6,2000,0,0,9888,7565,400,1,10,4473832.2
79649,36,0,1,59,80079,8,9,2009,1,1,4699,3621,331,1,3,7976501.9
20401,18,1,1,76,14101,2,4,1994,0,1,5093,3095,313,1,3,2047409.4
51616,52,0,1,26,29889,1,5,2015,0,0,9582,880,652,1,6,5164531.5
40934,26,0,1,41,1906,5,10,2018,1,0,4233,9254,404,0,5,4096884.8
62556,81,0,1,37,2058,5,10,2004,1,0,3278,8584,832,1,10,6265865.4
17949,76,1,1,7,29180,10,8,2017,0,1,2498,654,127,0,5,1802630.7
22802,44,0,0,67,83869,4,4,1993,1,1,5126,3744,422,1,6,2282203.1
93112,13,1,0,76,77493,6,6,1993,1,0,2181,207,135,1,10,9317076.3
2684,22,1,1,18,11285,3,9,2000,1,1,7325,1879,426,0,9,272104
