CementComponent,BlastFurnaceSlag,FlyAshComponent,WaterComponent,SuperplasticizerComponent,CoarseAggregateComponent,FineAggregateComponent,AgeInDays,Strength
141.3,166.4,0,203.5,0,879.6,748.5,28,29.07
236,157,0,192,0,972.6,749.1,28,39.16
192,288,0,192,0,929.8,716.1,3,9.69
122.6,203.5,0,203.5,0,958.2,800.1,90,33.94
500,0,0,200,0,1125,613,3,15.36
332.5,0,0,228,0,932,594,3,13.18
236,157,0,192,0,972.6,749.1,3,12.55
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,36.3
275,0,0,183,0,1088,808,90,34.56
236,0,0,194,0,968,885,180,25.18
439,177,0,186,11.1,884.9,707.9,3,15.09
150,142.5,0,194.7,6.7,973.4,674,28,29.65
322,0,0,203,0,974,800,180,32.11
213.7,98.1,24.5,181.9,6.9,1065.8,782.6,3,14.59
325,0,0,184,0,1063,783,7,11.39
439,177,0,186,11.1,884.9,707.9,28,28.24
382.5,0,0,185.7,0,1047.8,739.3,28,37.43
333,0,0,192,0,931.2,842.6,28,27.22
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,45.9
225,0,0,181,0,1113,833,28,39.42
500,0,0,203,0,1125,613,14,42.64
531.3,0,0,141.8,28.2,852.1,893.7,3,35.36
166.8,250.2,0,203.5,0,975.6,692.6,3,14.31
252,0,0,186,0,1111,784,3,12.55
288,192,0,192,0,932,717.8,28,39.6
333,0,0,192,0,931.2,842.6,90,24.1
213.5,98.1,24.5,181.7,6.7,1065.8,785.6,56,35.86
298,0,107,162,13.9,967,712,28,65.2
540,0,0,173,0,1125,613,28,31.84
380,95,0,228,0,932,594,90,52.91
332.5,142.5,0,228,0,932,594,7,24.45
540,0,0,173,0,1120,611.8,3,9.85
439,177,0,186,11.6,884.9,709,7,21.26
349,0,0,192,0,1049,806,90,32.9
307,0,0,193,0,968,812,365,38.07
145.3,158.5,0,178.5,10.1,879,867.8,28,40.15
387,20,0,157,11.6,938,845,28,40.15
198.6,122.6,0,192,0,978.4,800,360,43.8
246.8,250,0,203.5,0,977.6,694.1,56,21.92
388.6,97.8,78.4,191.8,10.3,852.1,705.2,49,64.9
385,0,0,186,0,966,763,28,33.02
190.7,0,125.4,162.1,7,1090,804,28,33.4
249.1,0,98.8,158.1,12.8,987.8,889,14,32.92
298.2,160.5,107,177.6,11.1,879.6,744.2,90,51.33
401.8,94.7,0,147.4,11.7,946.8,746.6,56,66.42
366,38,0,228,0,932,670,365,41.93
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,57.92
333,0,0,192,0,931.2,842.6,7,15.42
500,0,0,200,0,1125,613,28,37.42
349,0,0,192,0,1047,806,360,38.02
500,0,0,200,0,1125,613,14,44.28
166.1,0,0,203.2,0,975.6,692.6,28,22.93
252.5,0,0,185.7,0,1111.6,784.3,7,11.17
295.8,0,0,185.7,0,1069.2,769.3,7,21.48
500,0,0,200,0,1125,613,28,26.91
288,0,0,192,0,932,717.8,7,20.97
500,0,0,192,0,1125,613,1,31.54
333,0,0,192,0,931.2,842.6,3,4.9
382,0,0,192,0,1047,758,90,40.93
200,133,0,195,0,965.4,806.2,28,19.69
362.6,189,0,164.9,11.6,944.7,755.8,28,62.05
250,0,0,182,0,1100,820,7,17.37
331,0,0,192,0,1025,821,28,28.68
252.3,0,98.8,146.3,12.8,987.8,889,56,62.5
500,0,0,200,0,1125,613,3,33.8
277.1,0,97.4,160.6,11.8,973.9,875.6,14,33.61
331,0,0,192,0,1025,821,90,46.68
250,0,95.7,191.8,5.3,948.9,857.2,28,31.12
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,50.51
288.4,121,0,177.4,7,907.9,829.5,28,35.57
540,0,0,173,0,1125,613,180,35.87
181.9,134.7,0,183.8,11.6,944.7,755.8,28,61.89
295,0,0,185,0,1069,769,28,37.91
192,288,0,192,0,929.8,716.1,7,21.92
297.2,0,95.7,171.5,8.6,956.9,856.4,3,15.57
480,0,0,192,0,936.2,712.2,28,55.65
375,97.1,0,126.6,23.4,852.1,893.7,56,55.25
331,0,0,192,0,1025,821,28,25.1
350,0,0,203,0,974,775,180,32.92
151.2,174.2,108.3,167.5,16.5,835.6,813.2,28,29.79
296,0,0,192,0,1085,765,90,41.68
157,236,0,192,0,935.4,781.2,28,41.05
310,0,0,192,0,970,850,7,13.46
139.6,209.4,0,192,0,1047,839.2,90,32.63
349,0,0,192,0,1047,806,180,41.54
359.4,19.6,79,162.6,9.6,1014.3,712.2,28,47.22
252,0,0,186,0,1111,784,7,25.02
307,0,0,193,0,968,812,180,24.28
237.5,237.5,0,228,0,932,594,90,47.74
446,24,79,162,11.6,967,712,28,67.57
446,0,79,162,10.9,967,712,28,46.23
140,178,175,200,10,809,745,28,14.2
397,0,0,185.7,0,1040.6,734.3,28,32.88
376,0,0,214.6,0,1003.5,762.4,28,46.39
154,15,141,178,9.5,842,780,28,39.94
132,207,161,179,5.5,867,736,28,43.57
254,0,0,198,0,968,863,28,33.8
305.3,203.5,0,203.5,0,965.4,631,28,29.73
349,0,0,192,0,1047,806,90,23.69
183.9,122.6,0,203.5,0,959.2,800,7,23.51
525,0,0,189,0,1125,613,28,33.61
183.9,122.6,0,203.5,3,959.2,800,28,28.02
298,0,107,186,0,849,846,28,35.3
374,0,0,170.2,11.2,1007.3,730.4,56,72.99
339,0,0,197,0,968,781,3,9.87
252,0,0,185,0,1111,784,3,9.31
374,189.2,0,170.1,10.1,926.1,756.7,28,40.87
296,0,0,192,0,1085,765,90,37.68
349,0,0,192,0,1047,806,14,26.2
500,0,0,200,0,1125,613,7,33.96
425,106.3,0,151.4,18.6,936,803.7,100,44.64
273,116,86,194,6,914,680,28,50.24
405,0,0,175,0,1125,613,180,32.85
212,0,124.8,159,7.8,1085.4,799.5,14,22.75
362.6,189,0,164.9,11.6,944.7,755.8,91,48.85
190,190,0,228,0,932,670,365,24.5
446,24,79,162,11.6,967,712,3,22.9
212,0,124.8,159,7.8,1085.4,799.5,100,51.73
157,236,0,192,0,935.4,781.2,7,23.89
200,200,0,190,0,1145,660,28,47.71
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,15.61
382,0,0,186,0,1047,739,28,43.25
382,0,0,186,0,1111,784,7,10.79
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,41.05
382,0,0,186,0,1038,758,28,39.3
173.5,50.1,159.9,172.3,9.5,1006.2,746.6,56,52.43
141.3,212,0,203.5,0,971.8,748.5,90,64.02
349,0,0,192,0,1047,806.9,28,41.1
382,0,0,185,0,1047,739,28,37.34
400,0,0,185,0,1025,745,7,23.84
322,22,0,178,8.5,822,750,90,36.84
322,0,0,203,0,974,800,28,41.24
375,0,0,186,0,1038,758,28,39.32
339,0,0,197,0,968,781,180,39.94
333,0,0,192,0,931.2,842.6,360,67.8
231.8,0,121.6,174,6.7,1056.4,778.5,100,59.3
500,0,0,200,0,1125,613,28,46.39
425,106.3,0,153.5,16.5,852.1,887.1,91,56.1
237,237,0,228,0,932,594,28,12.25
237.5,237.5,0,228,0,932,594,90,39.3
380,95,0,228,0,932,594,3,21.75
382.5,0,0,185.7,0,1047.8,739.3,14,25.61
251.4,0,118.3,195.2,4.6,1028.4,757.7,100,58.8
184,86,190,195,5,860,734,28,37.36
376,0,0,214.6,0,1003.5,762.4,28,39.3
296,0,0,186,0,1090,769,28,34.68
349,0,0,192,0,1047,806,180,52.82
190.7,0,125.4,162.1,7.8,1090,802.6,56,60.29
237.5,237.5,0,228,0,932,594,180,47.1
220.8,147.2,0,185.7,0,1055,744.3,28,50.24
135.7,0,0,185.7,0,1076.2,759.3,3,15.09
153.1,144.7,132.1,178.1,8.1,877.2,868.7,28,28.1
295,0,0,186,0,1069,769,28,27.92
238.1,0,94.1,181.2,7,949.9,847,28,21.86
500,0,0,200,0,1125,765,28,29.89
295.8,0,95.6,171.5,8.9,955.1,859.2,100,43.01
339,0,77,196,6,968,754,28,41.68
531.3,0,0,141.8,28.2,852.1,893.7,56,45.71
350,0,0,186,0,1075,775,7,25.46
331,0,0,192,0,1025,821,28,53.52
525,0,0,189,0,1125,613,7,23.52
251.8,0,99.9,146.3,12.8,1006,899.8,100,59.8
181.4,0,0,169.6,7.6,1055.6,777.8,100,69.66
424,22,132,178,8.5,882,750,7,55.6
500,0,0,200,11,1130,745,28,74.99
427.5,47.5,0,228,0,932,594,90,59.49
349,0,0,192,0,1047,806,3,23.69
289,0,0,192,0,965.4,765.6,28,47.1
540,0,0,173,0,1125,613,14,15.52
331,0,0,192,0,1025,821,3,16.5
236,0,0,194,0,968,885,3,6.94
382.5,0,0,185.7,0,1047.8,739.3,365,43.7
237.5,237.5,0,228,0,932,594,90,38.46
212,144.7,0,203.5,0,973.4,875.6,3,19.42
349,0,0,192,0,1047,806,7,11.47
362.6,189,0,164.9,11.6,944.7,755.8,7,39.58
236,0,0,193,0,968,885,365,25.89
165,0,143.6,163.8,0,1005.6,900.9,100,35.85
266,116,0,228,0,932,670,180,45.94
424,22,132,168,8.9,822,750,28,56.83
374,0,0,190,7,1013,730,3,25.61
198.6,132.4,0,192,0,838.6,824.3,90,21.29
305.3,203.5,0,203.5,0,965.4,631,7,24.1
339,0,158,196,10.6,949,784,28,22.93
122.6,183.9,0,203.5,0,958.2,800,90,26.94
310,0,0,192,0,970,850,90,47.71
362.6,189,0,164.9,11.6,944.7,755.8,56,53.66
251.4,0,118.3,188.5,5.8,1056.4,757.7,100,30.08
305.3,203.5,0,203.5,0,965.4,695.8,3,13.18
237.5,237.5,0,185.7,0,852.1,696.7,56,63.53
339,0,0,188,6,1075,724,28,60.28
322,145,113,178,8,942,801,28,24.39
238.1,0,94.1,197.9,4.6,947,852.2,7,11.36
190.3,0,125.2,162.1,9.9,1059.4,804.9,28,29.79
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,34.68
397,0,0,185.7,0,1040.6,734.3,28,44.61
540,0,0,173,0,1125,613,28,52.42
310,0,0,192,0,970,850,180,38.11
116,173,0,192,0,909.8,856.8,90,35.17
349,0,0,192,0,1047,806,28,40.2
144.8,0,133.6,144.7,11.2,1001.8,803.7,28,35.23
212,0,121.6,159,5.8,1043.6,754.3,3,15.53
424,0,132,178,9,1000,822,28,59.3
393,0,0,192,0,940,758,28,39.3
333,145,184,200,8,1033,822,28,66.42
381.4,0,0,185.7,0,1104.6,784.3,90,48.85
393,0,0,186,0,1113,784,7,17.54
374,189.2,0,170.1,10.1,926.1,756.7,7,46.9
531.3,0,0,181.1,10.3,801.3,728.9,28,32.24
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,17.57
540,0,0,173,0,1125,613,180,40.93
173,116,0,192,0,946.8,856.8,90,46.23
379.5,151.2,0,153.9,15.9,1134.3,605,28,55.45
425,106.3,0,151.4,18.6,936,803.7,28,41.68
151,0,184,167,16,1074,678,28,36.97
236,157,0,192,0,972.6,749.1,7,7.68
331,0,0,192,0,978,825,28,24.34
322.5,141.3,0,203.5,0,959.2,800.1,28,44.21
237.5,237.5,0,228,0,932,594,365,36.94
302,0,0,203,0,974,817,180,36.94
331,0,0,192,0,1025,821,7,10.34
237.5,237.5,0,185.7,0,956.9,692.6,28,34.9
238.1,0,0,185.7,0,1118.8,789.3,28,81.75
446,24,79,162,11.6,967,712,56,52.61
296,0,0,186,0,1090,769,7,18.42
425,106.3,0,153.5,16.5,852.1,887.1,56,63.14
349,0,0,192,0,1047,806,90,35.23
331,0,0,192,0,1025,821,7,21.29
305.3,203.5,0,203.5,0,965.4,631,28,21.65
310,0,0,192,0,1012,830,120,30.65
333,0,0,192,0,931.2,842.6,3,32.4
236,157,0,192,0,972.6,749.1,28,63.14
350,0,0,203,0,974,775,90,31.18
540,0,0,173,0,1125,613,14,26.05
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,14.2
313.3,145,113,178.9,8,833.7,611.8,28,41.15
375,93.8,0,126.6,23.4,852.1,992.6,3,32.4
382,0,0,186,0,1047,739,7,21.97
192,288,0,192,0,929.8,716.1,90,33.4
284,15,141,179,5.5,801,802,28,37.17
157,236,0,192,0,935.4,785.6,7,14.4
500,0,0,200,0,1125,613,180,32.33
295,0,0,185,0,1069,769,28,27.87
251.8,0,99.9,188.5,12.4,1028.4,899.8,3,13.52
194.7,0,100.5,170.2,7.5,998,847,56,60.29
387,0,94.1,157.9,15.6,938.2,845,3,42.8
331,0,0,192,0,1025,821,7,36.8
397,0,0,185.7,0,1040.6,734.3,7,19.35
540,0,0,173,0,1125,613,7,18.13
397,0,0,185,0,1040,734,7,24.28
133,210,0,196,3,949,795,28,26.05
133,200,0,192,0,965.4,827,28,35.3
173,116,0,192,0,946.8,856.8,7,21.48
192,288,0,192,0,929.8,716.1,90,46.68
387,20,94,157,13.9,938,845,7,20.87
250.2,0,0,187.4,5.3,956.9,839.2,7,33.8
233.8,0,94.6,197.9,7.8,949.9,847,3,9.87
222.4,0,96.7,189.3,6.1,967.1,870.3,28,27.34
139.6,209.4,0,192,0,1047,806.9,28,38.46
304,140,0,214,6,895,722,28,37.26
397,0,0,185,0,1040,734,28,41.84
376,0,0,214.6,0,1003.5,762.4,3,25.42
155,145,184,179,8,867,824,28,24.5
102,153,0,192,0,887,942,28,20.87
297,0,0,186,0,1040,734,28,40.06
350,0,0,203,0,974,775,7,21.65
135.7,203.5,0,203.5,0,965.4,631,90,79.3
157,243.5,0,220,5.3,1022,698,28,24.1
288,192,0,192,0,932,717.8,28,22.35
288.4,121,0,177.4,7,907.9,829.5,28,37.81
349,0,0,192,0,1047,806,7,9.73
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.97
254,0,0,198,0,968,863,28,10.54
236,157,0,192,0,972.6,749.1,28,55.83
393,0,0,192,0,940,758,28,36.35
295.7,0,95.6,171.5,8.1,955.1,859.2,28,41.24
322,0,0,184,1.7,971,774,28,43.39
313.3,262.2,0,175.8,8.6,1046.9,611.8,7,55.6
331,0,0,192,0,1025,821,90,46.24
349,0,0,192,0,1056,809,28,33.4
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,35.75
424,178,137,168,20,936,651,28,43.73
238,0,0,185,0,1119,789,28,56.83
307,0,0,193,0,968,812,7,10.34
144,170,132,178,8,842,709,28,31.35
165,0,143.6,163.8,0,1005.6,900.9,28,61.99
522,0,0,146,0,896,896,28,39.7
250,0,0,189,0,1125,613,28,36.8
135.7,203.5,0,185.7,0,1076.2,759.3,7,8.49
349,0,0,192,0,1047,806.9,365,42.13
139.6,209.4,0,192,0,1047,806.9,7,28.63
251.8,0,99.9,146.3,12.4,1006,899.8,7,7.84
331,0,0,192,0,978,825,7,10.09
139.9,148.9,116,175.6,5.5,867.2,824,28,25.72
307,0,0,193,0,968,812,3,33.73
331,0,0,192,0,978,825,7,17.24
159.8,0,125.2,183.8,9.9,1049.3,798.9,100,35.34
246.8,0,125.1,143.3,12,1086.8,800.9,14,30.65
349,0,0,192,0,1047,806,180,51.04
339,0,0,197,0,968,781,3,14.94
238,0,0,185,0,1118,789,7,13.09
288.4,102.3,0,192,10.4,929.8,716.1,28,46.23
133,133,0,192,0,932,770,28,31.42
200,0,0,192,0,1111,806,7,11.65
156,243,0,180,8,1069,656,28,49.97
349,0,0,192,0,1047,806,7,7.51
500,0,0,200,0,1125,613,28,26.26
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,53.9
531.3,0,0,141.8,28.2,852.1,893.7,3,15.34
295.8,0,0,185.7,0,1091.4,769.3,7,15.52
387,20,94,157,13.9,947,852,28,34.4
382.5,0,0,185.7,0,1047.8,739.3,7,36.8
331,0,0,192,0,978,825,7,24.07
332.5,142.5,0,228,0,932,594,90,39.36
349,0,0,192,0,1047,806,28,40.86
295.7,0,0,141.8,12.8,852.1,829.5,56,59.89
288,192,0,192,0,932,717.8,90,35.87
333,0,0,192,0,927.4,842.6,28,28.47
339,0,0,185,0,1069,769,7,12.18
236,157,0,192,0,887,942,90,17.24
246.8,0,125.1,143.3,12,1086.8,800.9,100,56.85
212,141.3,0,203.5,0,973.4,750,90,71.99
236,0,0,194,0,968,885,365,41.37
305.3,359.4,0,185.7,0,935.4,631.3,3,10.34
281,0,0,186,0,1124,846,28,46.23
313.3,145,0,178.1,8.2,1000,611.8,28,41.68
166.1,0,163.3,176.5,12.1,1058.6,780.1,14,27.66
168.9,42.1,163.3,121.8,17.9,1058.7,780.1,56,45.84
139.6,209.4,0,192,0,1047,806.9,90,38.21
500,0,0,200,0,1125,613,180,65.2
331,0,0,192,0,978,825,90,30.28
133,200,0,192,0,927.4,839.2,90,26.23
393,0,0,185,0,1091,739,90,56.4
349,0,0,192,0,1047,806.9,7,14.4
250,132.4,0,192,0,924.1,856.8,7,16.89
144,15,132,168,10,884,821,28,17.2
173,116,0,192,0,946.8,856.8,7,14.31
331,0,0,192,0,1025,821,3,14.2
424,22,132,178,8.5,822,750,3,24
181.9,0,0,185.7,0,1012.4,714.3,7,7.4
255,116,0,192,0,889.8,945,90,50.6
200,133,0,192,0,965.4,806.2,90,51.86
236,0,0,194,0,968,885,7,19.99
222.4,0,24.5,162.1,11.1,967.1,870.3,14,34.2
133,200,0,192,0,927.4,839.2,90,54.32
362.6,189,0,164.9,11.6,936,744.2,28,22.84
252,0,0,185,0,1111,784,28,27.34
491,26,123,200,12.8,824,699,56,33.08
297.3,0,117.5,174.8,9.1,953.4,756.7,28,39.7
165,0,143.6,163.8,0,1005.6,900.9,3,12.18
322,0,0,203,0,974,800,270,24.39
382,0,0,186,0,1047,739,28,35.23
450.1,50,0,200,3,1124.4,613.2,7,7.72
155,0,143,193,12,1047,697,28,36.94
397,0,0,185.7,0,1040.6,734.3,90,48.99
133,0,0,192,0,927.4,839.2,90,47.71
425,106.3,0,153.5,16.5,852.1,887.1,28,47.03
425,106.3,0,151.4,18.6,936,803.7,7,55.9
379.5,151.2,0,153.9,15.9,1134.3,605,28,44.4
252,187,137,201,8,869,695,28,59
192,288,0,192,0,929.8,716.1,90,53.77
213.8,98.1,24.5,181.7,6.9,1065.8,785.5,3,14.5
154,0,0,176,9,877,868,28,25.18
331,0,0,192,0,1025,821,3,13.33
310,0,0,192,0,970,850,90,40.2
284,15,113,168,9,861,812,28,25.57
212.1,0,0,180.3,7.8,1057.6,779.3,28,58.52
139.6,209.4,0,192,0,943.1,871.8,3,13.29
322,145,0,178,8,1000,822,28,35.23
310,0,0,192,0,970,850,90,39.6
540,0,0,173,0,1125,613,28,23.85
439,177,0,186,11.1,884.9,707.9,28,37.8
277.1,0,97.4,160.6,11.8,973.9,870.3,14,34.49
385,0,0,186,0,966,763,14,36.99
359,19,141,154,10.9,942,801,7,25.2
277,0,0,191,0,968,856,28,33.36
500.1,0,0,180.3,0,1000,828.5,28,33.01
296,0,0,186,0,1090,769,7,21.16
389.9,189,94.6,145.9,22,944.7,755.8,91,46.25
133,0,200,200,0,1000,833,14,47.03
380,0,0,228,0,932,670,270,43.25
139.6,209.4,0,192,0,1047,806.9,28,26.77
333,0,0,192,0,931.2,842.6,7,11.47
331,0,0,192,0,1012,830,28,39.15
313,187,0,178,11,917,759,28,39.7
313,0,0,178,8,1002,689,28,44.52
255,0,0,192,0,889.8,945,360,45.84
475,0,0,228,0,932,594,7,7.51
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,28.3
350,0,0,174,9,1033,775,28,56.81
276,116,0,195,3,833,790,28,51.86
540,0,0,173,0,1125,613,14,39.61
331,0,0,192,0,978,825,90,50.08
349,0,0,192,0,1047,806,3,14.2
135,0,0,196,3,949,795,28,33.04
238,0,0,186,0,1119,789,28,41.05
307,0,0,193,0,968,812,180,27.68
387,20,0,183.8,0,938.2,845,7,12.47
194.7,0,194.9,143.3,11.6,1005.6,800.9,56,66
146,230,0,202,3,827,872,28,48.79
446,24,79,162,11.6,967,712,28,66.78
310,0,0,192,0,1012,830,120,39.7
331,0,0,192,0,978,825,180,44.28
381.4,0,0,185.7,0,1104.6,784.3,7,17.37
266,114,0,228,0,932,670,365,55.2
393,0,0,192,0,1040.6,734.3,7,17.34
350,0,0,203,0,974,775,28,18.13
359,19,141,154,10.9,942,801,7,52.5
540,0,0,173,0,1125,613,7,26.97
349,0,0,192,0,1047,806.9,28,27.53
516,0,141,141,11.3,801,893,28,78.8
154.4,184,0,193,7,965.4,754.3,28,33.3
153.9,145,113,167,15.9,987.8,889,7,26.06
236,157,0,192,0,972.6,749.1,3,6.9
500,0,0,200,0,1125,613,3,12.84
310,117.2,98.8,158.5,14.3,1014.3,830.4,28,56.61
133,200,0,192,7,965.4,806.2,3,22.32
157,236,0,192,0,935.4,781.2,90,39.42
255,0,0,192,0,889.8,945,90,21.5
322,0,0,203,0,974,800,28,18.75
331,0,0,192,0,978,825,180,38
190.7,0,125.2,166.6,0,1079,739.3,7,15.53
133,200,0,192,0,927.4,839.2,7,16.26
153,239,0,200,6,1002,684,28,25.18
385,0,0,186,0,966,763,7,24.58
296,0,0,186,0,1090,769,28,74.5
252,0,0,186,0,1111,784,7,21.07
500,0,0,200,0,1125,613,180,44.13
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,31.72
251.4,0,118.3,192.9,5.8,1043.6,759.3,14,21.92
382.5,0,0,185.7,0,1047.8,739.3,28,39.58
255,0,0,192,0,889.8,945,7,18.03
427.5,47.5,0,228,0,932,594,7,27.63
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.86
397,0,0,186,0,940,758,28,32.25
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,25.97
310,0,0,192,0,970,850,90,70.7
192,288,0,192,0,972.6,749.1,28,21.18
475,118.8,0,181.1,8.9,852.1,781.5,3,7.4
525,0,0,189,0,1125,613,7,21.91
190.3,0,125.1,166.6,9.9,1079,798.9,56,53.9
475,118.8,0,181.1,3.4,852.1,781.5,100,46.23
154.8,0,142.8,193.3,10,1021.8,678,14,24.24
375,0,0,186,12.3,852,783,7,29.75
202,11,141,206,1.7,942,801,3,11.47
166.1,250.2,125.2,167.4,12.8,1086.8,804,28,40.06
396,0,0,185.7,0,1040.6,734.3,28,62.05
475,0,0,228,0,932,594,90,49.77
331,0,0,192,0,1025,821,28,33.04
307,0,0,193,0,968,812,7,24.39
298.1,0,107,164.6,12.1,879,815.2,28,79.3
166.1,0,174.2,176.5,11.7,1007.2,893.7,3,25.57
186.2,124.1,0,185.7,0,1083.4,764.3,28,22.35
322,0,0,203,0,974,800,180,34.24
139.6,209.4,0,192,0,1047,749.1,90,46.24
446,24,79,162,11.6,967,712,28,42.64
108.3,163.8,94.6,203.5,1.6,947,746.8,28,39.66
425,106.3,0,153.5,16.5,852.1,845,3,46.9
238,0,0,185,0,1118,789,28,26.86
349,0,0,192,0,1056,809,90,31.18
500,0,0,200,0,1125,613,7,19.01
387,20,94,157,14.3,938,845,56,56.5
173.8,93.8,173.8,166.6,11.7,1049.3,692.6,56,55.64
425,106.3,0,153.9,8.9,852.1,887.1,91,55.65
313,145,0,178,8,870,730,28,33.69
212.1,0,100.4,159.3,5.7,1007.2,746.6,56,44.14
190.3,0,125.2,166.6,7.8,1079,798.9,100,46.23
255,0,0,192,0,1047,806,28,45.9
310,143,0,168,10,914,804,28,53.58
356.9,119.7,0,160.2,22.1,923.2,657.9,28,43.57
336.5,0,0,181.9,3.4,985.8,816.8,28,22.53
290.2,193.5,0,185.7,0,998.2,704.3,28,33.05
141.3,206,0,151.4,18.6,936,803.7,3,7.4
277,0,0,191,4,968,856,180,35.87
323.7,45.2,141.8,170.2,10.2,942.7,659.9,7,29.79
289,133.7,0,203.5,0,924.1,760.1,28,26.74
349,0,0,192,0,1047,806,28,30.12
165,0,143,163,0,1005.6,900.9,14,19.2
266,114,0,192,0,932,670,28,23.64
183.9,122.6,0,203.5,0,959.2,800.1,7,11.41
379.5,151.2,0,153.9,15.9,1134.3,605,7,59.8
307,0,0,193,0,968,812,28,30.28
250,0,0,191,0,1047,806,28,31.81
475,0,0,228,0,932,594,180,26.77
296,0,0,192,0,1085,765,180,41.05
157,236,0,191,0,878,655,28,39.38
236,0,0,193,0,968,805,7,23.89
500,0,0,175,0,1066,770,28,28.63
500.1,0,0,200,0,1124.4,613.2,90,50.46
275.1,0,121.6,180.3,5.7,1057.6,779.3,56,32.72
339,0,0,185,0,1069,754,28,44.61
393,0,0,192,0,940.6,785.6,7,21.86
425,106.3,0,153.5,16.5,852.1,887.1,91,31.38
500,0,0,200,0,1125,613,7,9.85
376,106.3,0,153.5,16.5,852.1,887.1,7,59.3
230,230.5,0,195.5,5.3,1029.4,658.9,28,33.7
325.6,214.6,0,203.5,0,963.4,630,14,18.75
225,0,0,181,0,1113,833,28,21.78
266,114,0,228,0,932,670,28,27.04
139.6,209.4,0,192,0,1047,806.9,90,47.03
446,24,79,162,11.6,967,712,7,33.8
236,0,0,194,0,968,804,3,7.32
333,17.5,163,167,17.9,996,652,28,55.26
170.3,155.5,0,185.7,0,1026.6,830,7,19.01
500,0,0,200,3,1125,613,28,36.35
310,0,0,192,0,1012,830,90,31.35
266.1,98.1,87.1,191.8,6.1,824.1,657,56,58.61
251.4,0,118.3,188.5,5.8,1029.4,757.7,56,34.57
296,0,0,185,0,1066,769,28,21.16
147.8,114.6,0,201.3,7.8,860,829.5,28,36.97
